,produk,umur,domisili,gender,status_perkawinan,profesi,tujuan,penghasilan,persentasi_tabungan,rate_fungsionalitas,rate_admin,rate_limit,rate_bunga,rate_setoran_awal,rate_kebutuhan,alasan_lainnya
44,Tabungan Regular,17-21 tahun,Jabodetabek,Laki-laki,Belum Kawin,Mahasiswa,"Investasi, Simpanan jangka panjang, Kegiatan sehari-hari, Lainnya",5-10 juta,10-20%,4.0,3.0,4.0,1.0,1.0,3.0,Aksesibilitas dari produk simpanan dan tingkat kepercayaan/trust level bank tersebut. Selain itu saya juga mementingkan customer service yang disediakan oleh produk simpanan. Produk simpanan juga harus mudah untuk diubah uangnya menjadi cash/liquid.
45,Tabungan Regular,17-21 tahun,Jabodetabek,Laki-laki,Belum Kawin,Karyawan Swasta,Kegiatan sehari-hari,1-5 juta,1-5%,3.0,4.0,3.0,1.0,2.0,3.0,Untuk kebutuhan pembayaran sehari-hari
46,Tabungan Anak Muda,17-21 tahun,Non Jabodetabek,Laki-laki,Belum Kawin,Mahasiswa,"Investasi, Simpanan jangka panjang, Kegiatan sehari-hari",10-15 juta,> 30%,4.0,3.0,3.0,4.0,3.0,3.0,Karna produk perbankan yang sudah terjamin aman dan nyamannya. 
47,Tabungan Regular,17-21 tahun,Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,"Investasi, Simpanan jangka panjang, Kegiatan sehari-hari",1-5 juta,> 30%,3.0,2.0,3.0,3.0,3.0,3.0,Diarahkan oleh teller bank tersebut
48,Tabungan Regular,17-21 tahun,Jabodetabek,Laki-laki,Belum Kawin,Mahasiswa,"Simpanan jangka panjang, Kegiatan sehari-hari",1-5 juta,0%,3.0,2.0,3.0,2.0,3.0,2.0,"Ya, selain bunga, limit, dan biaya admin, saya juga mempertimbangkan faktor keamanan dan kemudahan akses dalam memilih produk simpanan individu. Misalnya, saya mencari produk yang memiliki fitur keamanan yang kuat seperti otentikasi dua faktor dan perlindungan data yang baik. Selain itu, saya lebih memilih produk yang mudah diakses melalui aplikasi digital, sehingga saya dapat memantau dan mengelola simpanan kapan saja dan di mana saja. Layanan pelanggan yang responsif juga menjadi salah satu pertimbangan, agar saya bisa mendapatkan bantuan dengan cepat jika ada masalah."
49,Tabungan Anak Muda,17-21 tahun,Jabodetabek,Laki-laki,Belum Kawin,Mahasiswa,"Investasi, Simpanan jangka panjang, Kegiatan sehari-hari",1-5 juta,> 30%,4.0,4.0,4.0,4.0,4.0,4.0,Tidak
50,Tabungan Regular,21-30 tahun,Jabodetabek,Perempuan,Belum Kawin,Karyawan Swasta,Simpanan jangka panjang,10-15 juta,20-30%,3.0,4.0,3.0,3.0,1.0,3.0,Tidak ada
51,Tabungan Regular,17-21 tahun,Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,"Investasi, Simpanan jangka panjang",1-5 juta,> 30%,3.0,2.0,4.0,1.0,1.0,3.0,Tidak ada
52,Tabungan Regular,17-21 tahun,Non Jabodetabek,Laki-laki,Belum Kawin,Mahasiswa,Kegiatan sehari-hari,1-5 juta,> 30%,4.0,4.0,4.0,4.0,2.0,4.0,Kemudahannya
53,Tabungan Regular,21-30 tahun,Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,Kegiatan sehari-hari,1-5 juta,10-20%,3.0,3.0,4.0,4.0,1.0,3.0,Tidak ada
54,Tabungan Online,17-21 tahun,Jabodetabek,Laki-laki,Belum Kawin,Mahasiswa,"Investasi, Simpanan jangka panjang, Kegiatan sehari-hari",1-5 juta,20-30%,4.0,4.0,4.0,4.0,4.0,2.0,"Selain bunga, limit, dan biaya admin, saya juga mempertimbangkan reputasi dan kredibilitas lembaga keuangan yang menawarkan produk simpanan tersebut. Bagi saya, penting untuk memilih lembaga yang memiliki rekam jejak yang baik dalam menjaga keamanan dana nasabah. Faktor lain yang saya perhatikan adalah fitur tambahan yang ditawarkan, seperti cashback, poin reward, atau potongan biaya transaksi. Selain itu, fleksibilitas dalam pengelolaan dana—misalnya, kemudahan untuk menarik dana atau melakukan top-up secara online—juga menjadi alasan saya memilih produk ini."
55,Tabungan Online,17-21 tahun,Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,Kegiatan sehari-hari,< 1 juta,0%,3.0,4.0,4.0,2.0,1.0,3.0,karna kemudahan utk menabung saja
56,Tabungan Online,17-21 tahun,Non Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,Kegiatan sehari-hari,< 1 juta,1-5%,2.0,2.0,2.0,2.0,2.0,3.0,Ada
57,Tabungan Anak Muda,17-21 tahun,Non Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,Kegiatan sehari-hari,< 1 juta,1-5%,2.0,1.0,2.0,2.0,3.0,3.0,"Biaya admin pulsa, dan malasnya mengambil duit cash"
58,Tabungan Berjangka,17-21 tahun,Jabodetabek,Laki-laki,Belum Kawin,Mahasiswa,"Investasi, Simpanan jangka panjang, Kegiatan sehari-hari",1-5 juta,5-10%,2.0,2.0,3.0,3.0,4.0,2.0,"Tentu, selain bunga, limit, dan biaya admin, saya juga mempertimbangkan kemudahan integrasi produk dengan layanan finansial lain yang saya gunakan, seperti mobile banking atau e-wallet. Fitur tambahan, seperti program loyalitas atau promosi khusus yang menguntungkan nasabah, juga menjadi daya tarik tersendiri. Faktor transparansi informasi juga penting bagi saya; saya merasa lebih nyaman menggunakan produk dari lembaga yang jelas dalam memberikan informasi terkait ketentuan dan kebijakan mereka. Hal ini membantu saya merasa lebih yakin dan nyaman dalam menggunakan produk simpanan tersebut."
59,Tabungan Medium,17-21 tahun,Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,"Investasi, Simpanan jangka panjang",5-10 juta,20-30%,3.0,3.0,3.0,3.0,2.0,3.0,Tidak ada
60,Tabungan Regular,17-21 tahun,Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,"Investasi, Simpanan jangka panjang",1-5 juta,> 30%,4.0,4.0,4.0,4.0,1.0,3.0,Tidak ada
61,Tabungan Regular,17-21 tahun,Non Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,Kegiatan sehari-hari,5-10 juta,10-20%,4.0,4.0,4.0,4.0,4.0,4.0,kemudahan bertransaksi
62,Tabungan Regular,21-30 tahun,Jabodetabek,Laki-laki,Belum Kawin,Karyawan Swasta,Kegiatan sehari-hari,10-15 juta,> 30%,4.0,4.0,4.0,4.0,1.0,4.0,Tidak ada
63,Tabungan Regular,30-55 tahun,Non Jabodetabek,Laki-laki,Kawin,Karyawan Swasta,Kegiatan sehari-hari,> 20 juta,10-20%,3.0,3.0,3.0,1.0,1.0,3.0,Tidak ada
64,Tabungan Anak Muda,17-21 tahun,Jabodetabek,Laki-laki,Belum Kawin,Mahasiswa,"Simpanan jangka panjang, Kegiatan sehari-hari",1-5 juta,20-30%,4.0,3.0,4.0,4.0,1.0,4.0,tidak ada
65,Tabungan Online,30-55 tahun,Non Jabodetabek,Perempuan,Kawin,Lainnya,Investasi,< 1 juta,1-5%,2.0,2.0,2.0,1.0,1.0,3.0,Tidak ada
66,Tabungan Pelajar,17-21 tahun,Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,"Simpanan jangka panjang, Kegiatan sehari-hari",1-5 juta,10-20%,3.0,4.0,3.0,3.0,1.0,3.0,"terpercaya dan terjamin, aman"
67,Tabungan Regular,17-21 tahun,Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,Kegiatan sehari-hari,1-5 juta,> 30%,4.0,3.0,4.0,4.0,4.0,3.0,"Tidak ada, hanya sekedar untuk menabung"
68,Tabungan Regular,21-30 tahun,Jabodetabek,Laki-laki,Belum Kawin,Karyawan Swasta,"Investasi, Simpanan jangka panjang, Kegiatan sehari-hari",10-15 juta,> 30%,4.0,4.0,4.0,3.0,1.0,4.0,Karena karyawan BCA tidak ada biaya admin
69,TabunganKu,21-30 tahun,Jabodetabek,Laki-laki,Belum Kawin,Karyawan Swasta,Kegiatan sehari-hari,10-15 juta,20-30%,3.0,2.0,4.0,2.0,2.0,4.0,Tidak ada
70,Tabungan Regular,17-21 tahun,Jabodetabek,Perempuan,Belum Kawin,Karyawan Swasta,"Investasi, Simpanan jangka panjang, Kegiatan sehari-hari, Lainnya",5-10 juta,> 30%,4.0,4.0,4.0,4.0,1.0,4.0,Tidak ada
71,Tabungan Regular,17-21 tahun,Jabodetabek,Laki-laki,Belum Kawin,Mahasiswa,"Simpanan jangka panjang, Kegiatan sehari-hari",1-5 juta,20-30%,3.0,3.0,3.0,3.0,2.0,3.0,Tidak ada
72,Tabungan Regular,21-30 tahun,Non Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,"Simpanan jangka panjang, Kegiatan sehari-hari",< 1 juta,1-5%,4.0,4.0,4.0,4.0,1.0,4.0,Tidak ada
73,Tabungan Regular,17-21 tahun,Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,Simpanan jangka panjang,1-5 juta,> 30%,3.0,2.0,3.0,4.0,2.0,4.0,Tidak ada
74,Tabungan Regular,30-55 tahun,Non Jabodetabek,Perempuan,Kawin,Karyawan Swasta,Simpanan jangka panjang,1-5 juta,5-10%,4.0,4.0,4.0,3.0,1.0,3.0,Tidak ada 
75,Tabungan Regular,21-30 tahun,Jabodetabek,Laki-laki,Belum Kawin,Karyawan Swasta,Simpanan jangka panjang,5-10 juta,5-10%,3.0,4.0,3.0,3.0,2.0,3.0,Tidak ada
76,Tabungan Anak Muda,17-21 tahun,Non Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,Kegiatan sehari-hari,< 1 juta,1-5%,3.0,3.0,4.0,4.0,1.0,3.0,Ada. Contohnya ada cashback dan ada fitur keamanan. 
77,Tabungan Regular,30-55 tahun,Non Jabodetabek,Laki-laki,Kawin,Karyawan Swasta,"Investasi, Kegiatan sehari-hari",> 20 juta,5-10%,4.0,4.0,4.0,2.0,1.0,4.0,Tidak ada
78,Tabungan Regular,> 55 tahun,Non Jabodetabek,Perempuan,Kawin,Karyawan Swasta,Lainnya,15-20 juta,20-30%,4.0,4.0,4.0,4.0,4.0,4.0,Tidak ada
79,Tabungan Regular,30-55 tahun,Non Jabodetabek,Perempuan,Kawin,Karyawan Swasta,Investasi,> 20 juta,> 30%,4.0,4.0,4.0,4.0,1.0,4.0,Txn mudah
80,Tabungan Regular,30-55 tahun,Non Jabodetabek,Perempuan,Kawin,Karyawan Swasta,Kegiatan sehari-hari,> 20 juta,1-5%,4.0,4.0,4.0,1.0,1.0,4.0,Fas ebankingnya bagus dan friendly
81,Tabungan Regular,30-55 tahun,Non Jabodetabek,Laki-laki,Kawin,Karyawan Swasta,Kegiatan sehari-hari,> 20 juta,5-10%,4.0,4.0,4.0,1.0,1.0,4.0,Tidak ada
82,Tabungan Regular,30-55 tahun,Non Jabodetabek,Laki-laki,Kawin,Karyawan Swasta,Kegiatan sehari-hari,> 20 juta,> 30%,3.0,1.0,3.0,1.0,4.0,2.0,"Produk kompetitor tidak lebih baik, sama saja, kelebihan kompetitor kelemahan bank yang saya pakai  sekarang dan sebaliknya kekurangan kompetitor adalah kelebihan bank yang saya pakai, jadi sama saja deh"
83,Tabungan Regular,30-55 tahun,Non Jabodetabek,Perempuan,Kawin,Karyawan Swasta,Kegiatan sehari-hari,> 20 juta,10-20%,3.0,3.0,4.0,2.0,1.0,3.0,Tidak ada
84,Tabungan Regular,30-55 tahun,Non Jabodetabek,Laki-laki,Kawin,Karyawan Swasta,Simpanan jangka panjang,> 20 juta,20-30%,4.0,1.0,4.0,1.0,1.0,2.0,Trust Bank
85,Tabungan Premium,30-55 tahun,Non Jabodetabek,Laki-laki,Kawin,Karyawan Swasta,"Investasi, Kegiatan sehari-hari",> 20 juta,> 30%,3.0,3.0,4.0,3.0,1.0,3.0,Kemudahan
86,Tabungan Regular,30-55 tahun,Non Jabodetabek,Laki-laki,Kawin,Karyawan Swasta,Kegiatan sehari-hari,> 20 juta,10-20%,4.0,4.0,4.0,1.0,1.0,4.0,Tidak ada
87,Tabungan Regular,30-55 tahun,Non Jabodetabek,Perempuan,Kawin,Karyawan Swasta,Kegiatan sehari-hari,> 20 juta,10-20%,4.0,4.0,4.0,2.0,1.0,4.0,Tidak ada
88,Tabungan Regular,30-55 tahun,Non Jabodetabek,Laki-laki,Kawin,Karyawan Swasta,Kegiatan sehari-hari,> 20 juta,5-10%,4.0,4.0,4.0,1.0,1.0,4.0,Tidak ada
89,Tabungan Regular,21-30 tahun,Jabodetabek,Perempuan,Belum Kawin,Karyawan Swasta,Kegiatan sehari-hari,1-5 juta,5-10%,3.0,3.0,3.0,2.0,2.0,2.0,Mudah
90,Tabungan Regular,21-30 tahun,Jabodetabek,Laki-laki,Belum Kawin,Mahasiswa,"Investasi, Simpanan jangka panjang, Kegiatan sehari-hari",5-10 juta,> 30%,3.0,3.0,3.0,3.0,2.0,2.0,Tidak ada
91,Tabungan Regular,30-55 tahun,Non Jabodetabek,Perempuan,Kawin,Karyawan Swasta,Kegiatan sehari-hari,> 20 juta,20-30%,4.0,4.0,4.0,4.0,1.0,4.0,Sangat dibutuhkan di marketplace
92,Tabungan Regular,30-55 tahun,Non Jabodetabek,Laki-laki,Kawin,Karyawan Swasta,Kegiatan sehari-hari,> 20 juta,5-10%,4.0,4.0,4.0,3.0,2.0,4.0,kepercayaan
93,Tabungan Regular,30-55 tahun,Non Jabodetabek,Laki-laki,Kawin,Karyawan Swasta,"Investasi, Simpanan jangka panjang, Kegiatan sehari-hari, Lainnya",> 20 juta,20-30%,4.0,4.0,4.0,4.0,1.0,4.0,Tidak ada
94,Tabungan Regular,30-55 tahun,Non Jabodetabek,Perempuan,Kawin,Karyawan Swasta,Kegiatan sehari-hari,> 20 juta,1-5%,4.0,4.0,4.0,4.0,4.0,4.0,Tidak ada
95,Tabungan Online,17-21 tahun,Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,Investasi,5-10 juta,10-20%,3.0,3.0,3.0,3.0,3.0,3.0,risiko rendah
96,Tabungan Pelajar,17-21 tahun,Jabodetabek,Laki-laki,Belum Kawin,Mahasiswa,Simpanan jangka panjang,1-5 juta,10-20%,4.0,1.0,3.0,4.0,3.0,3.0,Memudahkan dalam menabung karena layanan cepat
97,Tabungan Regular,17-21 tahun,Non Jabodetabek,Laki-laki,Belum Kawin,Mahasiswa,"Simpanan jangka panjang, Kegiatan sehari-hari",1-5 juta,10-20%,4.0,3.0,2.0,3.0,1.0,3.0,tidak ada
98,Tabungan Regular,21-30 tahun,Non Jabodetabek,Laki-laki,Kawin,Karyawan Swasta,Simpanan jangka panjang,5-10 juta,20-30%,4.0,4.0,4.0,4.0,1.0,4.0,Semua sudah berjalan dengan lancwar dan terperinci
99,Tabungan Regular,30-55 tahun,Non Jabodetabek,Laki-laki,Kawin,Karyawan Swasta,Kegiatan sehari-hari,> 20 juta,20-30%,4.0,4.0,4.0,4.0,1.0,4.0,Tidak ada
100,Tabungan Regular,30-55 tahun,Non Jabodetabek,Laki-laki,Kawin,Karyawan Swasta,Kegiatan sehari-hari,> 20 juta,5-10%,4.0,4.0,4.0,2.0,3.0,4.0,digital banking
101,Tabungan Regular,17-21 tahun,Non Jabodetabek,Perempuan,Belum Kawin,Karyawan Swasta,Kegiatan sehari-hari,5-10 juta,5-10%,4.0,4.0,4.0,4.0,4.0,4.0,Tidak ada
102,TabunganKu,21-30 tahun,Non Jabodetabek,Laki-laki,Kawin,Karyawan Swasta,Simpanan jangka panjang,1-5 juta,10-20%,4.0,4.0,4.0,4.0,4.0,4.0,Tidak ada
103,Tabungan Regular,21-30 tahun,Jabodetabek,Laki-laki,Belum Kawin,Mahasiswa,"Investasi, Simpanan jangka panjang, Kegiatan sehari-hari",1-5 juta,5-10%,4.0,3.0,3.0,4.0,2.0,4.0,Tidak ada
104,Tabungan Regular,21-30 tahun,Non Jabodetabek,Perempuan,Belum Kawin,Karyawan Swasta,Kegiatan sehari-hari,1-5 juta,> 30%,4.0,4.0,4.0,4.0,4.0,4.0,Tidak ada
105,Tabungan Berjangka,30-55 tahun,Non Jabodetabek,Laki-laki,Kawin,Karyawan Swasta,Simpanan jangka panjang,5-10 juta,5-10%,4.0,4.0,4.0,3.0,1.0,4.0,Tidak 
106,Tabungan Regular,30-55 tahun,Non Jabodetabek,Laki-laki,Kawin,Karyawan Swasta,"Investasi, Kegiatan sehari-hari",> 20 juta,20-30%,3.0,4.0,4.0,4.0,2.0,4.0,"Lebih fleksibel, dapat digunakan sebagai alat pembayaran sehingga tidak terlalu banyak membawa uang tunai"
107,Tabungan Regular,21-30 tahun,Jabodetabek,Laki-laki,Belum Kawin,Karyawan Swasta,Simpanan jangka panjang,5-10 juta,20-30%,4.0,4.0,4.0,1.0,1.0,4.0,Tidak ada
108,Tabungan Regular,21-30 tahun,Non Jabodetabek,Perempuan,Kawin,Karyawan Swasta,Simpanan jangka panjang,5-10 juta,10-20%,4.0,4.0,4.0,2.0,1.0,4.0,Tidak ada
109,Tabungan Regular,30-55 tahun,Non Jabodetabek,Perempuan,Kawin,Karyawan Swasta,Kegiatan sehari-hari,> 20 juta,20-30%,3.0,4.0,4.0,2.0,1.0,4.0,Utk trx sehari hari
